Key	Item Type	Publication Year	Holiday	latitude	longitude	Author	Title	Publication Title	ISBN	ISSN	DOI	Url	Abstract Note	Date	Date Added	Date Modified	Access Date	Pages	Num Pages	Issue	Volume	Number Of Volumes	Journal Abbreviation	Short Title	Series	Series Number	Series Text	Series Title	Publisher	Place	Language	Rights	Type	Archive	Archive Location	Library Catalog	Call Number	Extra	Notes	File Attachments	Link Attachments	Manual Tags	Automatic Tags	Editor	Series Editor	Translator	Contributor	Attorney Agent	Book Author	Cast Member	Commenter	Composer	Cosponsor	Counsel	Interviewer	Producer	Recipient	Reviewed Author	Scriptwriter	Words By	Guest	Number	Edition	Running Time	Scale	Medium	Artwork Size	Filing Date	Application Number	Assignee	Issuing Authority	Country	Meeting Name	Conference Name	Court	References	Reporter	Legal Status	Priority Numbers	Programming Language	Version	System	Code	Code Number	Section	Session	Committee	History	Legislative Body
K8D6VQPH	newspaperArticle	1862	Day of Atonement	38.804836	-77.046921		[Yom Kippur Notice]	Alexandria Gazette		1946-6153		http://chroniclingamerica.loc.gov/lccn/sn85025007/1862-10-04/ed-1/seq-2/#date1=1836&index=3&date2=1865&searchType=advanced&language=&sequence=0&lccn=&words=Atonement+day&proxdistance=5&state=&rows=50&ortext=&proxtext=&phrasetext=day+of+atonement&andtext=&dateFilterType=range&page=1		1862-10-04	6/20/16 20:52	6/22/16 17:04	6/20/16 20:52													"Alexandria, Virginia"	eng					chroniclingamerica.loc.gov				/Users/lauranewmaneckstein/Documents/Zotero/1862_Alexandria gazette.pdf; /Users/lauranewmaneckstein/Library/Application Support/Zotero/Profiles/n03l5k21.default/zotero/storage/WERR5XMJ/seq-2.html			Alexandria County (Va.)--Newspapers.; Alexandria (Va.)--Newspapers.; Virginia--Alexandria County.--fast--(OCoLC)fst01225052; Virginia--Alexandria.--fast--(OCoLC)fst01206236																																														
MGR8JABC	newspaperArticle	1863	Day of Atonement	38.804836	-77.046921		The Hebrew Holidays	Alexandria Gazette		1946-6153		http://chroniclingamerica.loc.gov/lccn/sn85025007/1863-09-14/ed-1/seq-2/#date1=1836&index=4&date2=1865&searchType=advanced&language=&sequence=0&lccn=&words=atonement+day&proxdistance=5&state=&rows=50&ortext=&proxtext=&phrasetext=day+of+atonement&andtext=&dateFilterType=range&page=1		1863-09-14	6/20/16 20:53	6/20/16 20:53	6/20/16 20:53													"Alexandria, Virginia"	eng					chroniclingamerica.loc.gov				/Users/lauranewmaneckstein/Documents/Zotero/1863_Alexandria gazette_2.pdf; /Users/lauranewmaneckstein/Library/Application Support/Zotero/Profiles/n03l5k21.default/zotero/storage/R5FER77B/seq-2.html			Alexandria County (Va.)--Newspapers.; Alexandria (Va.)--Newspapers.; Virginia--Alexandria County.--fast--(OCoLC)fst01225052; Virginia--Alexandria.--fast--(OCoLC)fst01206236																																														
GJ6Q9D4Z	newspaperArticle	1864	Day of Atonement	40.063962	-80.720915		Your Kippour	Daily Intelligencer		2333-8563		http://chroniclingamerica.loc.gov/lccn/sn84026845/1864-10-13/ed-1/seq-3/#date1=1836&index=6&date2=1865&searchType=advanced&language=&sequence=0&lccn=&words=atonement+day&proxdistance=5&state=&rows=50&ortext=&proxtext=&phrasetext=day+of+atonement&andtext=&dateFilterType=range&page=1		1864-10-13	6/20/16 20:54	6/20/16 20:55	6/20/16 20:54													"Wheeling, West Virginia"	eng					chroniclingamerica.loc.gov				/Users/lauranewmaneckstein/Documents/Zotero/1864_Daily intelligencer.pdf; /Users/lauranewmaneckstein/Library/Application Support/Zotero/Profiles/n03l5k21.default/zotero/storage/P5JKBK42/seq-3.html			Ohio County (W. Va.)--Newspapers.; West Virginia--Ohio County.--fast--(OCoLC)fst01224107; West Virginia--Wheeling.--fast--(OCoLC)fst01213675; Wheeling (W. Va.)--Newspapers.																																														
M4CGXEEN	newspaperArticle	1862	Day of Atonement	40.063962	-80.720915		Yom Kipper	Daily Intelligencer		2333-8563		http://chroniclingamerica.loc.gov/lccn/sn84026845/1862-09-26/ed-1/seq-3/#date1=1836&index=7&date2=1865&searchType=advanced&language=&sequence=0&lccn=&words=atone+atonement+day&proxdistance=5&state=&rows=50&ortext=&proxtext=&phrasetext=day+of+atonement&andtext=&dateFilterType=range&page=1		1862-09-26	6/20/16 21:06	6/20/16 21:07	6/20/16 21:06													"Wheeling, West Virginia"	eng					chroniclingamerica.loc.gov				/Users/lauranewmaneckstein/Documents/Zotero/1862_Daily intelligencer_4.pdf; /Users/lauranewmaneckstein/Library/Application Support/Zotero/Profiles/n03l5k21.default/zotero/storage/2QZH6K52/seq-3.html			Ohio County (W. Va.)--Newspapers.; West Virginia--Ohio County.--fast--(OCoLC)fst01224107; West Virginia--Wheeling.--fast--(OCoLC)fst01213675; Wheeling (W. Va.)--Newspapers.																																														
H62WBF5V	newspaperArticle	1864	Day of Atonement	38.804836	-77.046921		[Yom Kippur Notice]	Alexandria Gazette		1946-6153		http://chroniclingamerica.loc.gov/lccn/sn85025007/1864-10-10/ed-1/seq-2/#date1=1836&index=8&date2=1865&searchType=advanced&language=&sequence=0&lccn=&words=Atonement+Day&proxdistance=5&state=&rows=50&ortext=&proxtext=&phrasetext=day+of+atonement&andtext=&dateFilterType=range&page=1		1864-10-10	6/20/16 21:07	6/22/16 17:03	6/20/16 21:07													"Alexandria, Virginia"	eng					chroniclingamerica.loc.gov				/Users/lauranewmaneckstein/Documents/Zotero/1864_Alexandria gazette_2.pdf; /Users/lauranewmaneckstein/Library/Application Support/Zotero/Profiles/n03l5k21.default/zotero/storage/FDBMPFTN/seq-2.html			Alexandria County (Va.)--Newspapers.; Alexandria (Va.)--Newspapers.; Virginia--Alexandria County.--fast--(OCoLC)fst01225052; Virginia--Alexandria.--fast--(OCoLC)fst01206236																																														
4RCV5Z33	newspaperArticle	1850	Day of Atonement	40.712784	-74.005941		Most Sacred Day in the Jewish Calendar	New-York Daily Tribune		2158-2661		http://chroniclingamerica.loc.gov/lccn/sn83030213/1850-09-16/ed-1/seq-3/#date1=1836&index=9&date2=1865&searchType=advanced&language=&sequence=0&lccn=&words=atonement+Atonement+day+Day&proxdistance=5&state=&rows=50&ortext=&proxtext=&phrasetext=day+of+atonement&andtext=&dateFilterType=range&page=1		1850-09-16	6/20/16 21:07	6/20/16 21:08	6/20/16 21:07													"New York, N.Y"	eng					chroniclingamerica.loc.gov				/Users/lauranewmaneckstein/Documents/Zotero/1850_New-York daily tribune.pdf; /Users/lauranewmaneckstein/Library/Application Support/Zotero/Profiles/n03l5k21.default/zotero/storage/6SFWIBTC/seq-3.html			New York County (N.Y.)--Newspapers.; New York (N.Y.)--Newspapers.; New York (State)--New York County.--fast--(OCoLC)fst01234953; New York (State)--New York.--fast--(OCoLC)fst01204333																																														
XSZG58KU	newspaperArticle	1852	Day of Atonement	37.540725	-77.436048		Jewish Solemn Fast Day	The Daily Dispatch		2157-1260		http://chroniclingamerica.loc.gov/lccn/sn84024738/1852-09-24/ed-1/seq-2/#date1=1836&index=10&date2=1865&searchType=advanced&language=&sequence=0&lccn=&words=Atone+Atonement+Day&proxdistance=5&state=&rows=50&ortext=&proxtext=&phrasetext=day+of+atonement&andtext=&dateFilterType=range&page=1		1852-09-24	6/20/16 21:08	6/20/16 21:09	6/20/16 21:08													"Richmond, Virginia"	eng					chroniclingamerica.loc.gov				/Users/lauranewmaneckstein/Documents/Zotero/1852_The daily dispatch.pdf; /Users/lauranewmaneckstein/Library/Application Support/Zotero/Profiles/n03l5k21.default/zotero/storage/M4N7MNMQ/seq-2.html			Richmond (Va.)--Newspapers.; Virginia--Richmond.--fast--(OCoLC)fst01205345																																														
2WVRCXIK	newspaperArticle	1860	Day of Atonement	40.063962	-80.720915		Yom Kippur	Daily Intelligencer		2333-8563		http://chroniclingamerica.loc.gov/lccn/sn84026845/1860-09-27/ed-1/seq-3/#date1=1836&index=11&date2=1865&searchType=advanced&language=&sequence=0&lccn=&words=atonement+Atonement+day+Day&proxdistance=5&state=&rows=50&ortext=&proxtext=&phrasetext=day+of+atonement&andtext=&dateFilterType=range&page=1		1860-09-27	6/20/16 21:09	6/20/16 21:10	6/20/16 21:09													"Wheeling, West Virginia"	eng					chroniclingamerica.loc.gov				/Users/lauranewmaneckstein/Documents/Zotero/1860_Daily intelligencer_3.pdf; /Users/lauranewmaneckstein/Library/Application Support/Zotero/Profiles/n03l5k21.default/zotero/storage/XUJDGSHV/seq-3.html			Ohio County (W. Va.)--Newspapers.; West Virginia--Ohio County.--fast--(OCoLC)fst01224107; West Virginia--Wheeling.--fast--(OCoLC)fst01213675; Wheeling (W. Va.)--Newspapers.																																														
9XISVPXN	newspaperArticle	1865	Day of Atonement	38.804836	-77.046921		[Yom Kippur Notice]	Alexandria Gazette		1946-6153		http://chroniclingamerica.loc.gov/lccn/sn85025007/1865-09-30/ed-1/seq-3/#date1=1836&index=12&date2=1865&searchType=advanced&language=&sequence=0&lccn=&words=Atonement+Day&proxdistance=5&state=&rows=50&ortext=&proxtext=&phrasetext=day+of+atonement&andtext=&dateFilterType=range&page=1		1865-09-30	6/20/16 21:10	6/22/16 17:03	6/20/16 21:10													"Alexandria, Virginia"	eng					chroniclingamerica.loc.gov				/Users/lauranewmaneckstein/Documents/Zotero/1865_Alexandria gazette_3.pdf; /Users/lauranewmaneckstein/Library/Application Support/Zotero/Profiles/n03l5k21.default/zotero/storage/6VXMPQ6Q/seq-3.html			Alexandria County (Va.)--Newspapers.; Alexandria (Va.)--Newspapers.; Virginia--Alexandria County.--fast--(OCoLC)fst01225052; Virginia--Alexandria.--fast--(OCoLC)fst01206236																																														
PTWK3Q8P	newspaperArticle	1863	Day of Atonement	40.063962	-80.720915		Day of Atonement	Daily Intelligencer		2333-8563		http://chroniclingamerica.loc.gov/lccn/sn84026845/1863-09-23/ed-1/seq-3/#date1=1836&index=13&date2=1865&searchType=advanced&language=&sequence=0&lccn=&words=Atone+Atonement+atonement+Day+day&proxdistance=5&state=&rows=50&ortext=&proxtext=&phrasetext=day+of+atonement&andtext=&dateFilterType=range&page=1		1863-09-23	6/20/16 21:10	6/20/16 21:11	6/20/16 21:10													"Wheeling, West Virginia"	eng					chroniclingamerica.loc.gov				/Users/lauranewmaneckstein/Documents/Zotero/1863_Daily intelligencer_4.pdf; /Users/lauranewmaneckstein/Library/Application Support/Zotero/Profiles/n03l5k21.default/zotero/storage/X96MPZWI/seq-3.html			Ohio County (W. Va.)--Newspapers.; West Virginia--Ohio County.--fast--(OCoLC)fst01224107; West Virginia--Wheeling.--fast--(OCoLC)fst01213675; Wheeling (W. Va.)--Newspapers.																																														
