"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"T36G59A7","newspaperArticle","1861","","""Yom Kippur""","Cleveland Morning Leader","","2166-1855","","http://chroniclingamerica.loc.gov/lccn/sn83035143/1861-09-14/ed-1/seq-3/#date1=1836&index=37&date2=1865&searchType=advanced&language=&sequence=0&lccn=&words=Atonement+Day&proxdistance=5&sort=relevance&state=&rows=50&ortext=&proxtext=&phrasetext=day+of+atonement&andtext=&dateFilterType=range&page=3","","1861-09-14","2016-06-21 18:37:24","2016-06-21 18:37:46","2016-06-21 18:37:24","","","","","","","","","","","","","Cleveland, Ohio","eng","","","","","chroniclingamerica.loc.gov","","","","/Users/lauranewmaneckstein/Documents/Zotero/1861_Cleveland morning leader.pdf; /Users/lauranewmaneckstein/Library/Application Support/Zotero/Profiles/n03l5k21.default/zotero/storage/6W8THITU/seq-3.html","","","Cleveland (Ohio)--Newspapers.; Cuyahoga County (Ohio)--Newspapers.; Ohio--Cleveland.--fast--(OCoLC)fst01205966; Ohio--Cuyahoga County.--fast--(OCoLC)fst01202752","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GT8HWTP6","newspaperArticle","1860","","The Day of Atonement","Alexandria Gazette","","1946-6153","","http://chroniclingamerica.loc.gov/lccn/sn85025007/1860-09-27/ed-1/seq-1/#date1=1836&index=21&date2=1865&searchType=advanced&language=&sequence=0&lccn=&words=Atonement+Day&proxdistance=5&sort=relevance&state=&rows=50&ortext=&proxtext=&phrasetext=day+of+atonement&andtext=&dateFilterType=range&page=3","","1860-09-27","2016-06-21 18:44:36","2016-06-21 18:45:16","2016-06-21 18:44:36","","","","","","","","","","","","","Alexandria, Virginia","eng","","","","","chroniclingamerica.loc.gov","","","","/Users/lauranewmaneckstein/Documents/Zotero/1860_Alexandria gazette_3.pdf; /Users/lauranewmaneckstein/Library/Application Support/Zotero/Profiles/n03l5k21.default/zotero/storage/9I8XT3ZU/seq-1.html","","","Alexandria County (Va.)--Newspapers.; Alexandria (Va.)--Newspapers.; Virginia--Alexandria County.--fast--(OCoLC)fst01225052; Virginia--Alexandria.--fast--(OCoLC)fst01206236","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9S7XTPRT","newspaperArticle","1861","","The Jewish Day of Atonement","The New York Herald","","None","","http://chroniclingamerica.loc.gov/lccn/sn83030313/1861-09-14/ed-1/seq-2/#date1=1836&index=40&date2=1865&searchType=advanced&language=&sequence=0&lccn=&words=Atonement+Day&proxdistance=5&sort=relevance&state=&rows=50&ortext=&proxtext=&phrasetext=day+of+atonement&andtext=&dateFilterType=range&page=3","","1861-09-14","2016-06-21 18:46:01","2016-06-21 18:46:33","2016-06-21 18:46:01","2","","","","","","","","","","","","New York, N.Y","eng","","","","","chroniclingamerica.loc.gov","","","","/Users/lauranewmaneckstein/Documents/Zotero/1861_The New York herald.pdf; /Users/lauranewmaneckstein/Library/Application Support/Zotero/Profiles/n03l5k21.default/zotero/storage/F3ENFXDX/seq-2.html","","","New York County (N.Y.)--Newspapers.; New York (N.Y.)--Newspapers.; New York (State)--New York County.--fast--(OCoLC)fst01234953; New York (State)--New York.--fast--(OCoLC)fst01204333","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"398EIFHB","newspaperArticle","1850","","Religious","The New York Herald","","None","","http://chroniclingamerica.loc.gov/lccn/sn83030313/1850-09-18/ed-1/seq-3/#date1=1836&index=42&date2=1865&searchType=advanced&language=&sequence=0&lccn=&words=atone+atonement+day&proxdistance=5&sort=relevance&state=&rows=50&ortext=&proxtext=&phrasetext=day+of+atonement&andtext=&dateFilterType=range&page=3","","1850-09-18","2016-06-21 18:47:06","2016-06-21 18:47:27","2016-06-21 18:47:06","","","","","","","","","","","","","New York, N.Y","eng","","","","","chroniclingamerica.loc.gov","","","","/Users/lauranewmaneckstein/Documents/Zotero/1850_The New York herald.pdf; /Users/lauranewmaneckstein/Library/Application Support/Zotero/Profiles/n03l5k21.default/zotero/storage/98VKMKVG/seq-3.html","","","New York County (N.Y.)--Newspapers.; New York (N.Y.)--Newspapers.; New York (State)--New York County.--fast--(OCoLC)fst01234953; New York (State)--New York.--fast--(OCoLC)fst01204333","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WATG5DS3","newspaperArticle","1860","","[Yom Kippur Notice]","Nashville Union and American","","2166-7659","","http://chroniclingamerica.loc.gov/lccn/sn85038518/1860-10-10/ed-1/seq-3/#date1=1836&index=43&date2=1865&searchType=advanced&language=&sequence=0&lccn=&words=Atonement+Day&proxdistance=5&sort=relevance&state=&rows=50&ortext=&proxtext=&phrasetext=day+of+atonement&andtext=&dateFilterType=range&page=3","","1860-10-10","2016-06-21 18:53:17","2016-06-22 17:04:20","2016-06-21 18:53:17","","","","","","","","","","","","","Nashville, Tennessee","eng","","","","","chroniclingamerica.loc.gov","","","","/Users/lauranewmaneckstein/Documents/Zotero/1860_Nashville union and American.pdf; /Users/lauranewmaneckstein/Library/Application Support/Zotero/Profiles/n03l5k21.default/zotero/storage/ZVEQXV4M/seq-3.html","","","Davidson County (Tenn.)--Newspapers.; Nashville (Tenn.)--Newspapers.; Tennessee--Davidson County.--fast--(OCoLC)fst01205346; Tennessee--Nashville.--fast--(OCoLC)fst01204195","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HVC9DDVS","newspaperArticle","1865","","[Yom Kippur Notice]","Baltimore Daily Commercial","","2378-0444","","http://chroniclingamerica.loc.gov/lccn/sn83009569/1865-10-02/ed-1/seq-1/#date1=1836&index=49&date2=1865&searchType=advanced&language=&sequence=0&lccn=&words=Atonement+Day&proxdistance=5&sort=relevance&state=&rows=50&ortext=&proxtext=&phrasetext=day+of+atonement&andtext=&dateFilterType=range&page=3","","1865-10-02","2016-06-21 19:20:27","2016-06-22 17:03:36","2016-06-21 19:20:27","","","","","","","","","","","","","Baltimore, Maryland","eng","","","","","chroniclingamerica.loc.gov","","","","/Users/lauranewmaneckstein/Documents/Zotero/1865_Baltimore daily commercial_4.pdf; /Users/lauranewmaneckstein/Library/Application Support/Zotero/Profiles/n03l5k21.default/zotero/storage/JNC7XGXV/seq-1.html","","","Baltimore (Md.)--Newspapers.; Maryland--Baltimore.--fast--(OCoLC)fst01204292","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3MWSDIPV","newspaperArticle","1859","","News From the West Indies","The New York Herald","","None","","http://chroniclingamerica.loc.gov/lccn/sn83030313/1859-11-15/ed-1/seq-1/#date1=1836&index=29&date2=1865&searchType=advanced&language=&sequence=0&lccn=&words=Atonement+day&proxdistance=5&sort=relevance&state=&rows=50&ortext=&proxtext=&phrasetext=day+of+atonement&andtext=&dateFilterType=range&page=3","","1859-11-15","2016-06-21 19:22:21","2016-06-21 19:23:15","2016-06-21 19:22:21","","","","","","","","","","","","","New York, N.Y","eng","","","","","chroniclingamerica.loc.gov","","","","/Users/lauranewmaneckstein/Documents/Zotero/1859_The New York herald.pdf; /Users/lauranewmaneckstein/Library/Application Support/Zotero/Profiles/n03l5k21.default/zotero/storage/QRZKXEV7/seq-1.html","","","New York County (N.Y.)--Newspapers.; New York (N.Y.)--Newspapers.; New York (State)--New York County.--fast--(OCoLC)fst01234953; New York (State)--New York.--fast--(OCoLC)fst01204333","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WUB6PZ7X","newspaperArticle","1855","","Jewish Day of Atonement","Edgefield Advertiser","","2166-5613","","http://chroniclingamerica.loc.gov/lccn/sn84026897/1855-10-17/ed-1/seq-1/#date1=1836&index=14&date2=1865&searchType=advanced&language=&sequence=0&lccn=&words=ATONEENT+DAY&proxdistance=5&sort=relevance&state=&rows=50&ortext=&proxtext=&phrasetext=day+of+atonement&andtext=&dateFilterType=range&page=4","","1855-10-17","2016-06-21 19:43:35","2016-06-21 19:44:00","2016-06-21 19:43:35","","","","","","","","","","","","","Edgefield, South Carolina","eng","","","","","chroniclingamerica.loc.gov","","","","/Users/lauranewmaneckstein/Documents/Zotero/1855_Edgefield advertiser_2.pdf; /Users/lauranewmaneckstein/Library/Application Support/Zotero/Profiles/n03l5k21.default/zotero/storage/JZG5R5GU/seq-1.html","","","Edgefield County (S.C.)--Newspapers.; Edgefield (S.C.)--Newspapers.; South Carolina--Edgefield County.--fast--(OCoLC)fst01215692; South Carolina--Edgefield.--fast--(OCoLC)fst01229449","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Z3ZVCHDI","newspaperArticle","1859","","Day of Atonement","Alexandria Gazette","","1946-6153","","http://chroniclingamerica.loc.gov/lccn/sn85025007/1859-10-10/ed-1/seq-3/#date1=1836&index=44&date2=1865&searchType=advanced&language=&sequence=0&lccn=&words=atone+day&proxdistance=5&sort=relevance&state=&rows=50&ortext=&proxtext=&phrasetext=day+of+atonement&andtext=&dateFilterType=range&page=4","","1859-10-10","2016-06-21 19:52:29","2016-06-21 19:52:46","2016-06-21 19:52:29","","","","","","","","","","","","","Alexandria, Virginia","eng","","","","","chroniclingamerica.loc.gov","","","","/Users/lauranewmaneckstein/Documents/Zotero/1859_Alexandria gazette.pdf; /Users/lauranewmaneckstein/Library/Application Support/Zotero/Profiles/n03l5k21.default/zotero/storage/D9KUX5X8/seq-3.html","","","Alexandria County (Va.)--Newspapers.; Alexandria (Va.)--Newspapers.; Virginia--Alexandria County.--fast--(OCoLC)fst01225052; Virginia--Alexandria.--fast--(OCoLC)fst01206236","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"QJX3VC8X","newspaperArticle","1840","","The Jewish Church","Morning Herald","","None","","http://chroniclingamerica.loc.gov/lccn/sn83030312/1840-09-30/ed-1/seq-2/#date1=1836&index=47&date2=1865&searchType=advanced&language=&sequence=0&lccn=&words=Atone+day&proxdistance=5&sort=relevance&state=&rows=50&ortext=&proxtext=&phrasetext=day+of+atonement&andtext=&dateFilterType=range&page=4","","1840-09-30","2016-06-21 19:53:07","2016-06-21 19:53:30","2016-06-21 19:53:07","","","","","","","","","","","","","New York, N.Y","eng","","","","","chroniclingamerica.loc.gov","","","","/Users/lauranewmaneckstein/Documents/Zotero/1840_Morning herald_2.pdf; /Users/lauranewmaneckstein/Library/Application Support/Zotero/Profiles/n03l5k21.default/zotero/storage/7CQHVVXF/seq-2.html","","","New York County (N.Y.)--Newspapers.; New York (N.Y.)--Newspapers.; New York (State)--New York County.--fast--(OCoLC)fst01234953; New York (State)--New York.--fast--(OCoLC)fst01204333","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
